question,answer
it is really great to see exponential growth of appliedai. team's efforts to consider each and every concern and work on it is very much appreciable. very soon appliedai will be one of top most and successful teaching platform.,thank you for the kind words and the trusting us. we make sure every student who has trusted us will succeed through our course.
i also want to make a startup like you in the ai field this course give me a good start for ml and deep learning. till the end of my b.tech i want to gain as much as knowledge as possible or i can say as impossible.now finished my first year. fully passionate for completing the case studies.,learn as much as you can from this course and after your 2nd year onwards start internships and by the time you sit for placements in your final year you will get as much exposure. in case if you are interested in product development companies along with ml also gain strong command on cs fundamentals like data structures algorithms design patterns operating systems computer networks dbms. regarding the start up plans once if you have some experience of around 3-5 years in the corporate you can think of a new startup because in order to run a startup along with the technical stuff you also need management skills.
sir thanks for wonderful suggestions. but what you suggest me regarding internships i want to get some real world exposure by doing internship in these summer vacations i completed 10 to 11 assinments now in 10 to 15 days i will complete all course content just case studies will left after that. i have full june month for completing some case studies and refresh concepts about machine learning then till the end of june i will apply for internsip. is this good idea.,make sure your internship does not clash with your classes in college. yes you can start applying for internship once if you finish the course. once if you finish all the course content there are chances for you to crack internships in top it companies
what are design patterns?,https://en.wikipedia.org/wiki/software_design_pattern https://www.geeksforgeeks.org/design-patterns-set-1-introduction/
hi first of all thank you for great course can you please provide some modules for reinforcement learning.,adding more content to the current course would make it quite bulky for most of our students to finish and stay motivated through the course. hence we did not add reinforcement learning rl to it as of now. we do not want out our students to be overwhelmed by the course content and workload. while we want to add more content we do not want to overburden the students. we will probably create a new course or add rl to this course itself in the future no guarantees as optional topics. it should be easy for any of our students to pick up rl once they finish this course as they have all of the background in maths and deep-learning. please note that no course can cover everything in ml. often the content in this course itself is split across 2-3 courses. but we designed the course such that students can pick up new concepts fairly easily at the end of the course. actually some of our students have picked up rl at the end of this course fairly easily.
hi then i suggest please add another course for rl. i joined course not due to lack of material for ml online but due to organization and flow of course and the way you teach. so i request you to please consider this request seriously. i will happily pay for another course from you.,we will surely inform you once we have the reinforcement course ready or when we add rl as an optional content for this course.
hi team thank you for your all efforts taken for designing such great content. especially varma sir's way of teaching and explaining difficult concepts in a very easy-to-understand manner is praiseworthy. i have been doing this course for 4 months now and from my experience i can say that your hard work reflects through all the components of this course be it teaching live lectures doubt solving or the assignments. i have one suggestion it will be great if you make a telephone line available for doubt clarification regarding the assignments. many times it's a small workaround that fixes the bug but waiting for your reply via mail takes about a day and this in turn hampers the course progress. please make a telephonic helpline available for doubt clarification.,we encourage for doubts through mails. you can contact us at 918106920029/ 916301939583 in case if you are looking for a phone call conversation with us.
can we expect reinforcement learning to be added soon??..,please go through the comment thread: http://www.appliedaicourse.com/course/11/applied-machine-learning-online-course comment346
sir if this is the case then my suggestion would be to give some introduction course about reinforcement learning and make it as optional.,we will think of it.
it would be great in case there be a deep dive in reinforcement learning,so far we are not looking towards addding reinforcement learning. but in future we may add it and you will be able to access it.
once our validity gets over can we see those videos if you upload in future and do we need pay seperately for that ?,once if the course validity is over you will not be able to access any content in both website and classroom.
sir i3 processor with 8gb ram is fine to complete this course,yes it is enough.
can i learn artificial intelligence in the field of mechatronics?,please drop us your query at team@appliedaicourse.com. so that we can assist you better.
hi team i have 10 years experience in it. currently working in banking product implementation. my main concern is whether switching to ai/ml platform after 10 experience is right was forward. is it worth to take the risk of changing the domain now? my contact number: 98941 68004.,see i will suggest it is never late to switch the skills set.if you really want the edge over new skills you can consider it.it totally depends on the interest of one.
would like to suggest one functionality. if you would create one dashboard where will get a ranking based on the respective assignment. it will be great.,thanks for the suggestion
hi do i get certification after completing my appliedai course?,once after completion of the total course we will send the certificate of completion through email.
sir in google classroom we can see there are 30 assignments but in modules there are only 26 assignments including optional is the number of assignments are reduced?,you will see the other ones in the case studies at the bottom. also you will see them getting added in your classroom as you keep progressing through the course.
how many real-world projects can be done by your course in data science? how many real-world projects can be done by your course in machine learning? what is the average package of the students who got placed from your course? are all students get the same projects or each student gets different projects? waiting for reply. thanks in advance,please call us at 6301-939-583 or 8106-920-029. we will clarify all your doubts.
is the syllabus given fixed. i mean is the content team adding new lectures assignments or case studies ? it would be great to see reinforcement learning added at least as optional so as to not burden the student with heavy syllabus. rl is turning out be a very promising field in ml with very interesting applications .this would be really helpful for those who need it. thanks,syllabus is not fixed we keep adding the contents with time.we appreciate you suggestion and will look forward to it.
hi team can you please provide the assignments at the end of each module which will directly take us to google classroom's assigment? and provide tick like for videos once the assignment is completed and graded by you.,please drop a mail at team@appliedaicourse.com
hi aaic my friend attended interview with accenture with 2 years data science experience below are the list of questions was asked to him: 1. explain about yourself 2. explain the projects that you worked for 3. what is the difference between logistic and linear 4. what is sigmoid function 5. what is the difference between sigmoid and softmax function 6. what is validation 7. what s statification 8. what is bootstrap validation 9. what is cost function 10. why is cost function so important in model 11. when did you apply cost function 12. what is optimizer 13.i have 10 million records with 60 features what is your approch to build a logistic regression a. which validation you choose b. which model you choose c. which optimizer you choose d list the optimizers you know and explain the best one you choose for this problem e. where do you get the data ? is it from online or warehouse? 14.what is clustering and explain various clustering algorithms 15. write psudo code of density based clustering 16.have you ever worked on svm ? tell me the advantages 17. what is the node entropy 18. how is rnadom forest is different from xgboost 19. what are the most significant parameters for the xgboost 20 why you preferr xg boost for both liner and logistic 21. what is pca 22. i applied pca on 50 features and how many new feature will i get 23 what is eigan vector 24. how you deploy your model into production 25. what hadoop cluster you are using please give us some links or study materials if you find any topic missed in aaic course with respect to above-listed questions. thanks,these are some of the easier questions in interviews. we have covered all go these concepts except q-25 about hadoop in our course. for hadoop cluster i guess the interviewee mentioned that he is working on hadoop and hence he was asked which version of hadoop and which distribution of hadoop and probably what configuration he was using. we have also not covered q-1 as it changes from person to person
hi can you please explain what is your answer for below questions 22. i applied pca on 50 features and how many new feature will i get 13. i have 10 million records with 60 features what is your approch to build a logistic regression a. which validation you choose b. which model you choose c. which optimizer you choose d list the optimizers you know and explain the best one you choose for this problem e. where do you get the data ? is it from online or warehouse?,22. you can get any number of features
i am glad that all videos are searchable now and appliedai team really approachable and day by day you are getting better you are reaching the level customer satisfaction is utmost you guys are rocking...kudos to the entire team..,thank you for the feedback
i like this new site.can you add a feature where i can see the questions that i have asked and liked module wise and chapter wise ?,thanks for the suggestion
can you please describe how tough the assignment is is there nay video of that assignment so that i can judge myself because in most of the video they are saying that assignment are so tough that its impossible to complete the course in 1 year please give me some clarity,if you are motivated enough you can complete in 1year. if you watch all the videos and if you are clear with concepts you can complete assigments smoothly. some assignments takes time i.e also for machine to train the models and team is always there to help you out btw i completed in 1year except one assignment
so if in any case i am stuck at my assignments and i dont know what to do then who will help me and if u guys help me in the assignment then will i be consider for placements,we will be helping you out with the assignments and course queries. yes you will be considered.
and please tell how much students of yours have completed the full course in 1 year ratio wise ...i have a phobia of maths but i know programming ...so can i easily understand the algo like random forest knn nd other algo like these buy just watching your videos with 100 intrest,please send an email to team@appliedaicourse.com
by adding quiz at the end of every concept/chapter will help students better understanding and motivating?,as of now we do not have any plans of it. but in future we may add it.
i have 8 years of experience in it in .net technology but now i want to in ml field. so my questions/doubts are below:- 1 can i change my technology in this much experience and land in a good company as ml engineer. 2 this course is sufficient for me or some other course i need to do along with this. 3 how much it is difficult for me to switch to new technology.,kindly mail us your contact number to team@appliedaicourse.com so that we can call you and answer all your queries over the phone. also please mention what would be the best time to contact you.
is there content through which we can learn about video analysis image processing and its applications?,no right now we do not deliver these topics.we teach end to end ml and deep learning along with python and other tools like pandas numpy etc
will there be any content further? please add if possible they are my requirements for projects.,when the new content is added we will notfiy.
was any new content added i would like to know this to decide weather i should pay this course or not since machine learning is constantly evolving i would like a course that is constantly ipdaying with new content to keep the course uptodate it doesnt matter if the courses is lenghthy or not because at least we will be more prepared and have more things to learn the more the better so im just wandering is the course constantly updating its content,yes course is also constantly evolving as machine learning. every week course instructor will go live for 1-2hrs where he will pick a topic and go in great detail discussing about the topic
i have logged in with gmail but i want a seperate username and password to login. what should i do?,you can click on forgot password then you will get a password reset link through email.
sir i would like to do a phd in data science. how can the applied ml course help me? thanks in advance.,this course provides you with a good overview of most of the popular ml and deeplearning algorithms. but the mathematical rigor we go into is not at a phd level as we focus more on applied and practical aspects more than theoretical proofs. but we have many phd students who take this course to understand how various techniques are actually sued in practice.
just a suggestion : can you please put all the recorded audio for the query of student by module basis instead of finding it in the comments. this will definitely help student a lot and decrease some amount of question asked to you.,thanks for the suggestion
hi team i always had this query as we all know course validity is 1year and your team adds new content to the playlist every now and then as per your youtube live sessions so how can 1year old student of this course can access the new content if not then would not it be a loss for him in terms of knowledge gain. please help me with this query and also let me know business timings of your team to have a phone call conversation before i enroll this course. cheers,the validity of course is 365 days. you can call use between 10 am-6 pm.
i also would like to know. i keep coming back to this website and thinking about enrolling but no access to material after 365 days throws me off. i really like the course - to me it would make sense if i do not have access to assignments and future updates. i should have continued access to video content that i use as revision or reference. all other major program providers are giving the live time access ...,please drop a mail at team@appliedaicourse.com
i do not know the team's idea regarding 365 days validity but in my opinion if the course is life long validity students will not feel the motivation at all to complete it. it just makes us lazy day by day. we may keep on postponing it for 2 years. that is not at all helpful to someone who wants to grow as ml engineer or data scientist. if one has that utmost interest to complete the course within some stipulated time even if it is lifetime validity then it is sure that he can definitely complete it in one year. what it requires is sheer concentration and interest to learn. if it is a limited time period although we may feel hurry at sometimes we can learn at our own pace and extend the validity after a year and get a highly qualified job. purpose served,yes you are correct. this is the reason for 1-year validity.
access to course content is different to an actual program. you have dated assignments and deadlines that you have to complete to pass in 365 days. having access to content for future review is something appliedai should consider. other ml program providers are already doing it. that way you will also gain more students. sure make deadlines for assignments/case studies/any deliverables but make content video lectures accessible for lifetime.,previously we used to have deadlines for the assignments but this course is not taken only by the students. even the working professionals are also enrolling for this course and they were not able to meet their deadlines as they have to balance their work home and this course. so we have removed the topicwise deadlines but we have kept the course deadline of 365 days like that only. also 365 days of time is sufficient to complete all the assignments of this course provided if you consistently putting your efforts.
